Alimento,Nombre en Inglés,Energía calculada,Proteína,Grasa total,Carbohidratos,Fibra,AGS,AGM,AGPI,Colesterol,Calcio,Fósforo,Hierro,Potasio,Sodio,Zinc,Vitamina C,Vitamina A,Folatos,Vitamina B12,Tipo
"Pan, integral, rodaja, cuadrado, tostado","Bread, whole-wheat, slice, toasted",293.6,10.9,4.8,51.7,7.4,1.03,1.89,1.13,0.0,81.0,258.0,3.71,283.0,592.0,2.18,0.0,0.0,39.0,0.01,"cereales, tuberculos y platanos"
"Pan, integral, tipo pita","Bread, pita, whole-wheat",282.6,9.8,2.6,55.0,7.4,0.41,0.35,1.05,0.0,15.0,180.0,3.06,170.0,532.0,1.52,0.0,0.0,35.0,0.0,"cereales, tuberculos y platanos"
"Pan, mestizo de sal, con queso, horneado, comercialmente preparado","Bread, mix white and brown wheat dough, cheese, salt, baked, commercially prepared",304.8,8.8,3.6,59.3,,,,,,64.0,121.0,2.22,111.0,396.0,1.04,,,,,"cereales, tuberculos y platanos"
"Pan, negro, de centeno","Bread, pumpernickel",252.7,8.7,3.1,47.5,6.8,0.44,0.93,1.24,0.0,68.0,178.0,2.87,208.0,596.0,1.48,0.0,0.0,93.0,0.0,"cereales, tuberculos y platanos"
"Pan, negro, de centeno, tostado","Bread, pumpernickel, toasted",277.73,9.56,3.41,52.2,7.1,0.48,1.02,1.36,0.0,75.0,196.0,3.15,229.0,655.0,1.63,0.0,0.0,87.0,0.0,"cereales, tuberculos y platanos"
"Pan, para hamburguesa o hotdog, multicereal","Bread, hamburger/hotdog, mixed-grain",270.8,9.6,6.0,44.6,3.8,1.39,2.84,1.15,0.0,95.0,122.0,3.95,160.0,458.0,1.05,0.0,0.0,111.0,0.01,"cereales, tuberculos y platanos"
"Pan, para hamburguesa o hotdog, regular","Brad, rolls,hamburger or hotdog, plain",274.75,9.77,3.91,50.12,1.8,0.84,0.75,1.78,0.0,144.0,101.0,3.43,122.0,494.0,0.73,1.3,29.0,94.0,0.2,"cereales, tuberculos y platanos"
"Pasta, fideo chino, fortificado, cocido","Pasta, noodles, enriched, cooked",137.43,4.54,2.07,25.16,1.2,0.42,0.58,0.55,29.0,12.0,76.0,1.47,38.0,5.0,0.65,0.0,6.0,84.0,0.09,"cereales, tuberculos y platanos"
"Pasta, fideo chino, fortificado, crudo","Pasta, noodles, enriched, uncooked",381.68,14.16,4.44,71.27,3.3,1.18,1.25,1.33,84.0,35.0,2.41,4.01,244.0,21.0,1.92,0.0,17.0,230.0,0.29,"cereales, tuberculos y platanos"
"Pasta, fideo de arroz, cocido","Pasta, rice noodles,cooked",105.0,1.79,0.2,24.01,1.0,0.02,0.03,0.02,0.0,4.0,20.0,0.14,4.0,19.0,0.25,0.0,0.0,1.0,0.0,"cereales, tuberculos y platanos"
"Pasta, fideo de arroz, crudo","Pasta, rice noodles, uncooked",349.56,5.95,0.56,80.18,1.6,0.15,0.18,0.15,0.0,18.0,0.7,10.57,30.0,182.0,0.74,0.0,0.0,3.0,0.0,"cereales, tuberculos y platanos"
"Pasta, fideo, sin enriquecer, cocida","Pasta, noodles, unenriched, cooked",155.01,5.8,0.93,30.86,1.18,0.18,0.13,0.32,0.0,7.0,58.0,0.5,45.0,1.0,0.5,0.0,0.0,7.0,0.0,"cereales, tuberculos y platanos"
"Pasta, fideo, sin enriquecer, cruda","Pasta, noodles, unenriched, raw",364.83,13.04,1.51,74.77,3.2,0.28,0.17,0.56,0.0,18.0,150.0,130.0,162.0,5.0,1.26,0.0,0.0,18.0,0.0,"cereales, tuberculos y platanos"
"Pasta, fideo, sin enriquecer, promedio","Pasta, noodles, unenriched, ordinary",355.4,10.3,1.0,76.3,6.3,0.45,0.69,1.42,0.0,81.0,314.0,1.23,186.0,45.0,1.31,0.0,2.0,5.0,0.0,"cereales, tuberculos y platanos"
"Pasta, fideo/spaghetti, de espinaca, cocida","Pasta, fideo/spaghetti, spinach, cooked",128.59,4.58,0.63,26.15,0.0,0.09,0.07,0.26,0.0,30.0,108.0,1.04,58.0,14.0,1.08,,8.0,12.0,0.0,"cereales, tuberculos y platanos"
"Pasta, fideo/spaghetti, de espinaca, cruda","Pasta, fideo/spaghetti, spinach, uncooked",366.77,13.35,1.57,74.81,10.6,0.23,0.18,0.64,0.0,58.0,332.0,2.13,376.0,36.0,2.76,0.0,23.0,48.0,0.0,"cereales, tuberculos y platanos"
"Pasta, fideos promedio, Supermaxi","Pasta, noodles, ordinaty, Supermaxi",365.45,14.55,1.82,72.73,0.0,0.0,,,0.0,,,,,18.18,,,,,,"cereales, tuberculos y platanos"
"Pasta, spaguetti, integral, crudo","Pasta, spaghetti, whole wheat, raw",374.12,10.71,2.68,76.79,10.7,0.0,,,0.0,71.0,,4.82,,0.0,,0.0,0.0,,,"cereales, tuberculos y platanos"
"Pasta, tallarin, oriental de pollo, instantaneo, Rapidito","Pasta, tallarin, oriental chicken flavour, instant, Rapidito",468.0,12.0,20.0,60.0,0.0,12.0,8.0,4.0,36.0,,,,,1480.0,,,,,,"cereales, tuberculos y platanos"
"Pasta, spaguetti, enriquecida, fortificado, cocida","Pasta, spaghetti, enriched, cooked",155.01,5.8,0.93,30.86,1.8,0.18,0.13,0.33,0.0,7.0,58.0,1.33,45.0,1.0,0.5,0.0,0.0,119.0,0.0,"cereales, tuberculos y platanos"
"Pasta, spaguetti, enriquecida, fortificado, cruda","Pasta, spaghetti, enriched, raw",364.43,13.04,1.51,74.67,3.2,0.28,0.17,0.56,0.0,18.0,150.0,3.52,162.0,5.0,1.26,0.0,0.0,391.0,0.0,"cereales, tuberculos y platanos"
"Pinol, harina de cebada, simple","Barley flour, pinol type, ordinary",385.0,11.2,5.4,72.9,,0.6,1.8,3.3,0.0,3.0,73.0,0.9,,,,,0.0,,,"cereales, tuberculos y platanos"
"Pizza, horneada, comercialmente preparada","Pizza, baked, commercially prepared",268.33,11.25,10.93,31.24,,,,,,178.0,189.0,2.42,152.0,655.0,1.72,,,,,"cereales, tuberculos y platanos"
"Quimbolito, dulce, El Casero","Sweet quimbolito, El Casero",307.2,8.0,12.8,40.0,0.0,6.4,3.2,2.4,106.4,,,,,,,,,,,"cereales, tuberculos y platanos"
"Quinua, cocida","Quinoa, cooked",120.08,4.4,1.92,21.3,2.8,0.23,0.53,1.08,0.0,17.0,172.0,1.49,172.0,7.0,1.09,0.0,,42.0,0.0,"cereales, tuberculos y platanos"
"Quinua, cruda","Quinoa, uncooked",367.75,14.12,6.07,64.16,7.0,0.71,1.61,3.29,0.0,47.0,563.0,4.57,563.0,5.0,3.1,,1.0,184.0,0.0,"cereales, tuberculos y platanos"
"Tamal, harina de maíz, cerdo con verduras, sal, cocido a vapor, comercialmente preparado","Tamal, cornmeal, pork with vegetables, salt, steamed, commercially prepared",173.9,3.81,11.06,14.78,,,,,,4.0,45.0,0.4,107.0,343.0,0.36,,,,,"cereales, tuberculos y platanos"
"Tortilla, choclo, asada, comercialmente preparado","Tortilla, fresh corn, roast, commercially prepared",266.34,4.98,10.98,36.9,,,,,,36.0,171.0,0.52,144.0,452.0,0.8,,,,,"cereales, tuberculos y platanos"
"Tortilla, maíz blanco, asada, comercialmente preparado","Tortilla, white maize, roast, commercially prepared",341.91,9.38,16.99,37.87,,,,,,99.0,255.0,1.41,128.0,447.0,1.1,,,,,"cereales, tuberculos y platanos"
"Trigo, arroz de trigo, Camari","Wheat, wheat rice, Camari",344.1,13.0,1.7,69.2,2.9,,,,,54.0,0.0,3.7,,,,,,,,"cereales, tuberculos y platanos"
"Trigo, germen de trigo, crudo","Wheat, wheat germ, raw",387.28,23.15,9.72,51.8,13.2,1.66,1.37,6.01,0.0,39.0,842.0,6.26,892.0,12.0,12.29,0.0,0.0,281.0,0.0,"cereales, tuberculos y platanos"
"Trigo, grano entero","Wheat, whole grain",361.47,13.68,2.47,71.13,7.1,0.48,1.02,1.36,0.0,74.0,195.0,3.15,228.0,655.0,1.62,0.0,0.0,87.0,0.0,"cereales, tuberculos y platanos"
"Trigo, salvado de trigo, crudo","Wheat, wheat bran, raw",358.49,15.55,4.25,64.51,42.8,0.63,0.64,2.21,0.0,73.0,1013.0,10.57,1182.0,2.0,7.27,0.0,0.0,79.0,0.0,"cereales, tuberculos y platanos"
"Trigo, sémola, harina gruesa, no enriquecida","Semolina, wheat flour, unenriched",351.49,12.68,1.05,72.83,3.9,0.15,0.12,0.43,0.0,17.0,136.0,1.23,186.0,1.0,1.05,0.0,0.0,72.0,0.0,"cereales, tuberculos y platanos"
"Achira, blanca, rizoma, raíz","Achira, white, root",101.7,1.4,0.1,23.8,,,,,,13.0,58.0,0.7,,,,0.7,,,,"cereales, tuberculos y platanos"
"Achira, morada, rizoma, raíz","Achira, purple, root",99.3,1.4,0.1,23.2,,,,,,17.0,91.0,1.4,,,,0.1,,,,"cereales, tuberculos y platanos"
"Almidón, de achira, harina de flecha","Starch Achira, Arrowroot flour",354.7,0.3,0.1,88.15,3.4,0.02,0.0,0.05,0.0,40.0,5.0,0.33,11.0,2.0,0.07,0.0,0.0,7.0,0.0,"cereales, tuberculos y platanos"
"Almidón, de yuca o mandioca","Cassava, flour",335.3,1.7,0.5,81.0,,,,,,148.0,104.0,5.4,,,,14.0,,,,"cereales, tuberculos y platanos"
"Camote, con cáscara, cocido","Sweet potato, unpeeled, cooked",77.62,1.37,0.14,17.72,2.5,0.04,0.0,0.08,0.0,27.0,32.0,0.72,230.0,27.0,0.2,13.0,787.0,6.0,0.0,"cereales, tuberculos y platanos"
"Camote, con cáscara, crudo","Sweet potatoe, unpeeled, raw",87.21,1.57,0.05,20.12,3.0,0.02,0.0,0.01,0.0,30.0,47.0,0.61,337.0,55.0,0.3,2.0,709.0,11.0,0.0,"cereales, tuberculos y platanos"
"Harina de camote, Vitavilena","Sweet potato flour, Vitavilena",333.33,3.33,0.0,80.0,0.0,,,,,,,,,166.67,,,,,,"cereales, tuberculos y platanos"
Harina de plátano,Banana flour,334.4,3.1,0.4,79.6,9.9,0.03,0.02,0.05,0.0,29.0,104.0,3.9,,,0.61,1.3,,,,"cereales, tuberculos y platanos"
Mashua,Mashua,46.1,0.7,0.1,10.6,2.9,,,,,,,0.37,,,0.28,42.06,12.0,,,"cereales, tuberculos y platanos"
"Ñame, yam, crudo","Yam, raw",119.17,1.53,0.17,27.88,4.1,0.04,0.01,0.08,0.0,17.0,55.0,0.54,816.0,9.0,0.24,17.0,7.0,23.0,0.0,"cereales, tuberculos y platanos"
"Ñame, yam, escurrido, cocido sin sal","Yam, cooked, drained, without salt",117.54,1.49,0.14,27.58,3.9,0.03,0.0,0.06,0.0,14.0,49.0,0.52,670.0,8.0,0.2,12.0,6.0,16.0,0.0,"cereales, tuberculos y platanos"
"Oca, sin cáscara","Oca, peeled",65.2,0.7,0.0,15.6,2.4,,,,,,,0.47,,,0.14,23.92,0.0,,,"cereales, tuberculos y platanos"
"Olluco, melloco, con cáscara","Olluco, melloco, unpeeled",62.5,1.1,0.1,14.3,,,,,,3.0,28.0,1.1,,,,11.5,5.0,,,"cereales, tuberculos y platanos"
"Papa, amarilla, tipo chaucha, sin cáscara","Potatoe, yellow, peeled, chaucha type",104.8,2.0,0.4,23.3,0.4,,,,,6.0,52.0,0.4,,,0.29,9.0,0.0,,,"cereales, tuberculos y platanos"
"Papa, con cáscara, cocida","Potatoe, unpeeled, cooked",81.18,2.86,0.1,17.21,3.3,0.03,0.0,0.04,0.0,45.0,54.0,6.07,407.0,14.0,0.44,5.0,0.0,10.0,0.0,"cereales, tuberculos y platanos"
"Papa, con cascara, cruda","Potatoe, unpeeled, raw",78.77,2.02,0.09,17.47,2.2,0.03,0.0,0.04,0.0,12.0,57.0,0.78,421.0,6.0,0.29,20.0,0.0,16.0,0.0,"cereales, tuberculos y platanos"
"Papa, negra andina","Potatoe, andean black",75.6,1.8,0.4,16.2,2.6,,,,,19.0,40.0,0.52,295.0,6.0,0.22,3.15,0.0,,,"cereales, tuberculos y platanos"
"Papa, sin cáscara, cocida","Potatoe, peeled, cooked",87.78,1.71,0.1,20.01,1.8,0.03,0.0,0.04,0.0,8.0,40.0,0.31,328.0,5.0,0.27,7.0,0.0,9.0,0.0,"cereales, tuberculos y platanos"
"Papa, sin cáscara, cruda","Potatoe, peeled, raw",60.94,2.57,0.1,12.44,2.5,0.03,0.0,0.04,0.0,30.0,38.0,3.24,413.0,10.0,0.35,11.0,0.0,17.0,0.0,"cereales, tuberculos y platanos"
"Patacón, plátano verde, frito, con sal","Patacón, plantain, green, fried, with salt",262.72,,4.16,56.32,,,,,,2.0,15.0,0.36,489.0,182.0,0.02,,,,,"cereales, tuberculos y platanos"
"Plátano, maduro, frito","Plantain, ripe, fried",214.55,,1.67,49.88,,,,,,2.0,32.0,0.23,330.0,9.0,0.22,,,,,"cereales, tuberculos y platanos"
"Platáno maduro, frito, comercialmente preparado","Chifles, plantain chips, sweet, fried, commercially prepared",482.31,1.63,20.59,72.62,,,,,,3.0,30.0,0.51,473.0,2.0,0.28,,,,,"cereales, tuberculos y platanos"
"Plátano, maduro, hervido","Plantain, ripe, boiled",121.4,,,30.35,,,,,,2.0,6.0,0.18,26.0,21.0,0.07,,,,,"cereales, tuberculos y platanos"
"Plátano, maduro, tipo maqueño","Plantain, ripe",136.09,1.3,0.37,31.89,2.3,0.14,0.03,0.07,0.0,3.0,34.0,0.6,499.0,4.0,0.14,18.0,56.0,22.0,0.0,"cereales, tuberculos y platanos"
"Plátano, verde, crudo","Plantain, green, raw",146.9,1.2,0.1,35.3,0.5,,,,,8.0,40.0,0.8,,,,28.0,130.0,,,"cereales, tuberculos y platanos"
"Plátano, verde, frito, promedio","Plantains, green fried, average",308.97,1.5,11.81,49.17,3.5,3.69,4.35,2.7,0.0,4.0,44.0,0.67,482.0,2.0,0.23,3.4,357.6,15.0,,"cereales, tuberculos y platanos"
"Tortillas de verde, con queso mozzarella, Productos del Chef","Plantain tortillas with mozzarella cheese, Productos del Chef",237.33,2.67,2.67,50.67,0.0,1.33,0.67,0.0,45.33,,,,,,,,,,,"cereales, tuberculos y platanos"
"Yuca, mandioca, raíz","Cassava, peeled, raw",160.2,1.36,0.28,38.06,1.8,0.07,0.08,0.05,0.0,16.0,27.0,0.27,271.0,14.0,0.34,21.0,1.0,27.0,0.0,"cereales, tuberculos y platanos"
"Yuquitas, fritas, con sal, comercialmente preparados","Cassava, chip, salt, commercially prepared",489.38,2.03,24.58,65.01,,,,,,36.0,94.0,0.79,1133.0,577.0,1.16,,,,,"cereales, tuberculos y platanos"
"Zanahoria, blanca, cocida, sin sal","Parsnips, cooked,drained, without salt",76.02,1.32,0.3,17.01,3.6,0.05,0.11,0.05,0.0,37.0,69.0,0.58,367.0,10.0,0.26,13.0,0.0,58.0,0.0,"cereales, tuberculos y platanos"
"Zanahoria, blanca, cruda","Parsnips, raw",79.46,1.2,0.3,17.99,4.9,0.05,0.11,0.05,0.0,36.0,71.0,0.59,375.0,10.0,0.59,17.0,0.0,67.0,0.0,"cereales, tuberculos y platanos"
"Aguacate, sin cáscara, promedio","Avocado, peeled, ordinary, alla varieties",174.06,2.0,14.66,8.53,6.7,2.13,9.8,1.82,0.0,12.0,52.0,0.55,485.0,7.0,0.64,10.0,7.0,81.0,0.0,fruta
"Aguacate, verde, sin cáscara, serrano","Avocado, green, peeled, raw",130.74,2.23,10.06,7.82,5.6,1.96,5.51,1.68,0.0,10.0,40.0,0.17,351.0,2.0,0.4,17.4,7.0,35.0,0.0,fruta
"Arándano, deshidratado, Natures Heart","Blueberries, dehydrated, Natures Heart",320.0,0.0,0.0,80.0,1.67,0.0,,,0.0,,,,,100.0,,,,,,fruta
"Arándano, deshidratado, promedio","Blueberries, dehydrated, average",340.0,0.0,0.0,85.0,5.0,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,,fruta
"Arazá, fresco","Araza, fresh",36.7,1.1,1.1,5.6,0.9,,,,,4.0,,0.8,222.0,28.0,0.4,,,,,fruta
"Babaco, maduro, pulpa","Babaco, ripe, pulp",31.4,0.9,0.2,6.5,0.5,,,,,46.0,14.0,0.7,223.0,10.0,0.1,0.0,12.0,,0.0,fruta
"Badea, tumbo costeño, fresca","Badea, tumbo costeño, fresh",21.8,0.7,0.2,4.3,,,,,,14.0,17.0,0.8,,,,15.0,7.0,,,fruta
"Banano, guineo manzano, odatil, orito","Banana, small, sweet, raw",115.8,1.1,0.2,27.4,,,,,,8.0,24.0,0.6,370.0,1.0,0.17,13.0,14.0,,0.0,fruta
"Banano, guineo, plátano seda","Banana, raw",98.69,1.09,0.33,22.84,2.6,0.11,0.03,0.07,0.0,5.0,22.0,0.26,358.0,1.0,0.15,9.0,3.0,20.0,0.0,fruta
"Borojó, fresco","Borojo fruit, raw",133.4,3.0,0.6,29.0,,,,,,51.0,,6.9,464.0,8.0,1.5,3.0,,,,fruta
"Capulí, capulin, capulina","Capuli, capulin, capulina",100.7,2.1,2.3,17.9,,,,,,125.0,94.0,1.2,,,,90.0,,,,fruta
"Carambola, fruta estrellada, con cáscara, fresca","Starfruit, unpeeled, raw",34.05,1.04,0.33,6.73,2.8,0.02,0.03,0.18,0.0,3.0,12.0,0.08,133.0,2.0,0.12,34.0,3.0,12.0,0.0,fruta
"Cereza dulce, fruta en almibar, envasada","Cherries, in syrup, solid and liquid, average",96.9,0.73,0.1,23.27,1.1,0.02,0.03,0.03,0.0,10.0,10.0,1.3,93.0,7.0,0.06,2.0,36.0,8.0,0.0,fruta
"Cereza, fresca","Cherries, sour, red, raw",55.42,1.0,0.3,12.18,1.6,0.07,0.08,0.09,0.0,16.0,15.0,0.32,173.0,3.0,0.1,10.0,64.0,8.0,0.0,fruta
"Cerezas, marrasquino, roja, en almibar, Dicomfrut","Cherries, marrasquino, red, Dicomfrut",216.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,,,,,10.0,,,,,,fruta
"Chirimoya, fresca","Chirimoya, fruit",82.98,1.65,0.62,17.7,2.3,,,,0.0,8.0,26.0,0.3,269.0,4.0,0.18,12.0,0.0,18.0,0.0,fruta
"Chonta, mezcla, pelada, sin semillas, hervida, sin sal","Peach palm, mix, peeled, without seed, boiled, without salt",195.54,,4.58,38.58,,,,,,1.0,20.0,0.34,201.0,11.0,0.24,,,,,fruta
"Chonta, roja, pelada, sin semillas, hervida, sin sal","Peach palm, red, peeled, without seed, boiled, without salt",231.35,,4.87,46.88,,,,,,1.0,24.0,0.65,252.0,2.0,0.29,,,,,fruta
"Ciruela, claudia, amarilla o roja, fresca","Plums, yellow or red, fresh, raw",51.0,0.7,0.28,11.42,1.4,0.02,0.13,0.04,0.0,6.0,16.0,0.17,157.0,0.0,0.1,10.0,17.0,5.0,0.0,fruta
"Ciruela, roja, deshidratada","Prunes, dehydrated, raw",267.66,2.18,0.38,63.88,7.1,0.09,0.05,0.06,0.0,43.0,69.0,0.93,732.0,2.0,0.44,1.0,39.0,4.0,0.0,fruta
"Ciruela, sin semilla, deshidratada, Bonanza","Plums, seedlees, dehydrated, Bonanza",270.0,2.5,0.0,65.0,5.0,0.0,,,0.0,,,,,12.5,,,,,,fruta
"Ciruela, sin semilla, deshidratada, El Sabor","Plums, seedlees, dehydrated, El Sabor",179.07,0.0,11.63,18.6,0.0,2.33,,,0.0,,,,,0.0,,,,,,fruta
"Ciruela, sin semilla, deshidratada, Supermaxi","Plums, seedlees, dehydrated, Supermaxi",213.33,3.33,0.0,50.0,6.67,0.0,,,0.0,,,,,0.0,,,,,,fruta
"Coco, agua","Coconut, water from",19.52,0.72,0.2,3.71,1.1,0.18,0.01,0.0,0.0,24.0,20.0,0.29,250.0,105.0,0.1,2.0,0.0,3.0,0.0,fruta
"Coco, chips de canela y sal rosada, Alme","Coconut chips, cinnamon and pink salt, Alme",560.0,4.0,48.0,28.0,12.0,44.0,,,0.0,,,,,240.0,,,,,,fruta
"Coco, maduro, pulpa","Coconut, ripe, pulp,raw",375.65,3.33,33.49,15.23,9.0,29.7,1.42,0.37,0.0,14.0,113.0,2.43,356.0,20.0,1.1,3.0,0.0,26.0,0.0,fruta
"Coco, pulpa, hojuelas dulces, deshidratadas","Coconut, pulp, sweet flakes, dehydrated",492.83,3.28,32.15,47.59,4.3,28.51,1.37,0.35,0.0,14.0,100.0,1.8,316.0,256.0,1.75,0.0,0.0,8.0,0.0,fruta
"Coctel de frutas, en almibar, promedio","Fruit cocktail, in syrup, solid and liquid, average",93.75,0.39,0.07,22.89,1.1,0.01,0.01,0.03,0.0,6.0,11.0,0.28,86.0,6.0,0.08,1.9,10.0,3.0,0.0,fruta
"Coctel de frutas, en almibar, Gustadina","Fruit cocktail, in syrup, Gustadina",82.86,0.71,0.0,20.0,0.71,0.0,,,0.0,,,,,14.29,,,,,,fruta
"Coctel de frutas, en almibar, Snob","Fruit cocktail, in syrup, Snob",68.0,,0.0,18.0,0.0,0.0,,,0.0,,,,,3.0,,,,,,fruta
"Coctel de frutas, en almibar, sólidos y líquidos, promedio","Fruit cocktail, in syrup, solid and liquid, average",77.42,0.37,0.1,18.76,1.0,0.01,0.02,0.04,0.0,1.0,10.0,0.36,84.0,4.0,0.07,69.0,10.0,3.0,0.0,fruta
"Durazno, común, maduro, con cáscara, fruta criolla","Peaches, unpeeled, local fruit, raw",58.2,0.8,0.2,13.3,1.5,0.02,0.07,0.09,0.0,12.0,26.0,1.1,190.0,0.0,0.17,28.0,16.0,4.0,0.0,fruta
"Durazno, mitados, en almibar, Dos caballos","Peaches, in halves, in syrup, Dos Caballos",77.14,0.71,0.0,18.57,,0.0,,,0.0,,,,,7.14,,,,,,fruta
"Durazno, mitados, en almibar, Snob","Peaches, in halves, in syrup, Snob",65.21,0.43,0.07,15.71,1.43,0.07,,,0.0,,,,,10.0,,,,,,fruta
"Durazno, tipo guaytambo, prisco","Peaches, guaytambo type, raw",42.1,0.6,0.1,9.7,,0.02,0.06,0.04,0.0,21.0,,0.3,202.0,1.0,0.14,10.0,35.0,,,fruta
"Durazno, tipo melocotón, amarrillo, fruta criolla","Peaches, local fruit, raw",51.3,0.9,0.1,11.7,1.5,0.02,0.07,0.09,0.0,16.0,,0.1,190.0,0.0,0.17,19.0,22.0,4.0,0.0,fruta
"Durazno, tipo Nectarina","Peaches, nectarines types, raw",49.32,1.06,0.32,10.55,1.7,0.03,0.09,0.11,0.0,6.0,26.0,0.28,201.0,0.0,0.17,5.0,17.0,5.0,0.0,fruta
"Duraznos, en almibar, promedio","Peaches, in syrup, solid and liquid, average",82.46,0.45,0.1,19.94,1.3,0.01,0.04,0.05,0.0,3.0,11.0,0.27,92.0,6.0,0.09,3.0,17.0,3.0,0.0,fruta
"Fresas deshidratadas, Natures Heart","Strawberries, dehydrated, Natures Heart",297.14,2.86,0.0,71.43,8.57,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,fruta
"Fruta de pan, fresca","Breadfruit, fresh, raw",114.83,1.07,0.23,27.12,4.9,0.05,0.03,0.07,0.0,17.0,30.0,0.54,490.0,2.0,0.12,29.0,0.0,14.0,0.0,fruta
"Frutilla, madura, fresca","Strawberries, raw",36.1,0.67,0.3,7.68,2.0,0.01,0.04,0.16,0.0,16.0,24.0,0.42,153.0,1.0,0.14,59.0,1.0,24.0,0.0,fruta
"Frutilla, trozos, deshidratada, liofilizada","Strawberries, chunks, dehydrated, lyophilized",348.0,7.0,0.0,80.0,20.0,0.0,,,0.0,,,,,0.0,,,,,,fruta
"Granadilla dulce, fruta","Passion-fruit, granadilla type, purple, raw",104.0,2.4,2.8,17.3,,,,,0.0,10.0,64.0,0.9,348.0,28.0,,20.0,28.0,,,fruta
"Grosella, cruda con sal","Star gooseberry fruit, raw, with salt",32.48,,,8.12,,,,,,3.0,13.0,0.15,151.0,835.0,0.18,,,,,fruta
"Grosella, cruda, sin sal","Star gooseberry fruit, raw, without salt",25.36,,,6.34,,,,,,1.0,10.0,0.15,135.0,31.0,0.06,,,,,fruta
"Grosella, fresca","Surinam-cherry, pitanga,raw",36.76,0.8,0.4,7.49,,,,,0.0,9.0,11.0,0.2,103.0,3.0,,26.3,75.0,,0.0,fruta
"Guaba, cushin, paterna, pulpa","Jinicuil pulp, raw",66.9,1.0,0.1,15.5,,,,,,21.0,20.0,0.9,,,,9.0,,,,fruta
"Guanabana, guanaba","Soursop, raw",74.06,1.0,0.3,16.84,3.3,0.05,0.09,0.07,0.0,14.0,27.0,0.6,278.0,14.0,0.1,21.0,0.0,14.0,0.0,fruta
"Guanabana, pulpa líquida, con azucar, Esto si es guanabana","Guanabana, liquid pulp, with sugar, Esto si es guanabana",140.0,0.0,0.0,35.0,0.0,,,,,,,,,33.33,,,,,,fruta
"Guayaba, en almibar, Pacha","Guava, in syrup, Pacha",108.0,0.0,0.0,27.0,3.0,0.0,,,0.0,,,,,30.0,,,,,,fruta
"Guayaba, madura, fresca","Guavas, ordinary, ripe, raw",56.2,0.8,0.6,11.9,,0.17,0.05,0.18,0.0,20.0,,0.3,284.0,3.0,0.23,183.0,32.0,,0.0,fruta
"Higo, seco  deshidratado","Figs, dry, dehydrated",277.05,3.3,0.93,63.87,9.8,0.14,0.16,0.34,0.0,162.0,67.0,2.03,680.0,10.0,0.55,1.0,0.0,9.0,0.0,fruta
"Higos en almibar, sólidos y líquidos, en lata","Figs, in syrup, solids and liquids, canned",94.02,0.38,0.1,22.9,2.2,0.02,0.02,0.05,0.0,27.0,10.0,0.28,99.0,1.0,0.11,1.0,2.0,2.0,0.0,fruta
"Higos, en almibar, Qawi","Figs, andean figs, in syrup, Qawi",232.0,0.0,0.0,58.0,0.0,,,,0.0,,,,,55.0,,,,,,fruta
"Higos, fruta madura","Figs, ripe, raw",82.42,0.75,0.3,19.18,2.9,0.06,0.07,0.14,0.0,35.0,14.0,0.37,232.0,1.0,0.15,2.0,7.0,6.0,0.0,fruta
"Kiwi, sin cáscara, fresco","Kiwifruit, peeled, raw",67.88,1.14,0.52,14.66,3.0,0.03,0.05,0.29,0.0,34.0,34.0,0.31,312.0,3.0,0.14,93.0,4.0,25.0,0.0,fruta
"Lima, fresca","Lime, fresh, raw",46.76,0.7,0.2,10.54,2.8,0.02,0.02,0.06,0.0,33.0,18.0,0.6,102.0,2.0,0.11,29.1,2.0,8.0,0.0,fruta
"Limón, sin cáscara, fresco","Lemon, peeled, raw",44.38,1.1,0.3,9.32,2.8,0.04,0.01,0.09,0.0,26.0,16.0,0.6,138.0,2.0,0.06,53.0,1.0,11.0,0.0,fruta
"Limón, zumo","Lemon, pure juice, fresh",31.16,0.35,0.24,6.9,0.3,0.04,0.01,0.02,0.0,6.0,8.0,0.08,103.0,1.0,0.05,38.7,0.0,20.0,0.0,fruta
Mamey,"Mamey, fruit",56.5,0.5,0.5,12.5,3.0,0.14,0.2,0.08,0.0,11.0,11.0,0.7,47.0,15.0,0.1,14.0,12.0,14.0,0.0,fruta
"Mandarina, tangerina, fresca","Tangerines, fresh, raw",59.39,0.81,0.31,13.34,1.8,0.04,0.06,0.06,0.0,37.0,20.0,0.15,166.0,2.0,0.07,27.0,34.0,16.0,0.0,fruta
"Mango, criollo","Mangos, small, local, ripe, raw",39.2,0.8,0.0,9.0,,,,,,14.0,,1.3,189.0,7.0,,80.0,240.0,,,fruta
"Mango, deshidratado, promedio","Mango, dehydrated, average",293.04,3.33,0.0,69.93,3.33,0.0,,,0.0,,,,,16.65,,,,,,fruta
"Mango, grande, maduro","Mangos, large, ripe, raw",65.4,0.5,0.2,15.4,1.8,0.07,0.1,0.05,0.0,12.0,12.0,0.8,156.0,2.0,0.04,53.0,38.0,14.0,0.0,fruta
"Mango, verde","Mango, green, unripe, raw",49.4,0.4,0.2,11.5,,,,,,14.0,10.0,0.4,,,,128.0,,,,fruta
