Alimento,Nombre en Inglés,Energía calculada,Proteína,Grasa total,Carbohidratos,Fibra,AGS,AGM,AGPI,Colesterol,Calcio,Fósforo,Hierro,Potasio,Sodio,Zinc,Vitamina C,Vitamina A,Folatos,Vitamina B12,Tipo
"Cereal desayuno, amaranto, horneado, Nutrial","Cereal, breakfast, baked amaranth, Nutrial",404.55,13.64,4.55,77.27,,0.0,0.0,0.0,0.0,,,,,68.18,,,,,,"cereales, tuberculos y platanos"
"Cereal desayuno, arroz crocante","Cereal, breakfast, crispy rice",391.46,7.32,1.22,87.8,0.0,0.0,,,0.0,0.0,98.0,30.73,98.0,585.0,18.29,14.6,731.7,878.0,8.78,"cereales, tuberculos y platanos"
"Cereal desayuno, arroz crocante","Cereal, Breakfast, Kellogg´s, corn pops",389.7,4.8,1.3,89.7,8.4,0.5,0.2,0.5,0.0,7.0,52.0,6.0,113.0,357.0,5.0,20.0,467.0,333.0,5.0,"cereales, tuberculos y platanos"
"Cereal desayuno, arroz crocante sabor a chocolate","Cereal, breakfast, crispy rice, chocolate flavor",389.97,3.33,3.33,86.67,1.7,0.0,,,0.0,0.0,,6.0,,300.0,5.0,0.0,500.1,,2.0,"cereales, tuberculos y platanos"
"Cereal desayuno, con pasas, Kellog’s","Cereal, breakfast, raisin bran, Kellogg’s",364.52,7.72,2.72,77.29,11.4,0.48,0.34,0.95,0.0,43.0,347.0,12.33,653.0,356.0,3.39,0.0,386.0,201.0,19.0,"cereales, tuberculos y platanos"
"Cereal desayuno, corn flakes con miel, Kellog’s","Cereal, breakfast, honey crunch corn flakes, Kellogg’s",392.3,6.8,1.9,87.0,3.4,0.3,1.0,0.6,0.0,22.0,60.0,6.2,102.0,700.0,0.3,20.0,502.0,553.0,5.0,"cereales, tuberculos y platanos"
"Cereal desayuno, de arroz, con quinoa y chia, sabor a chile, Livekuna","Cereal, breakfast, from rice, with quinua and chia, chile flavour, Livekuna",448.57,8.57,14.29,71.43,2.86,2.86,4.29,8.57,0.0,,,,,514.29,,,,,,"cereales, tuberculos y platanos"
"Cereal desayuno, froot loops, trix, Kellog’s","Cereal, breakfast, froot loops, trix, Kellogg’s",397.98,5.04,3.1,87.48,2.5,1.52,0.43,0.68,0.0,14.0,112.0,20.4,120.0,501.0,19.0,47.0,467.0,585.0,7.07,"cereales, tuberculos y platanos"
"Cereal desayuno, granola, con miel y pasas, Schullo","Cereal, Breakfast, granola, with honey and raisins, Schullo",471.11,15.56,17.78,62.22,8.89,2.22,11.11,3.33,0.0,,,,,66.67,,,,,,"cereales, tuberculos y platanos"
"Cereal desayuno, granola, con trigo y miel","Cereal, breakfast, granola, wheat & honey",441.38,10.55,11.62,73.65,10.2,1.24,6.6,2.68,2.0,109.0,357.0,392.0,483.0,50.0,2.95,0.2,2.0,37.0,0.17,"cereales, tuberculos y platanos"
